Plot ,Treatment,Date,Year,Time,Plant,Soil,Fungicide,Entomobryidae,Hypogastruidae,Isotomidae,Onychuridae,Smithuridae,Tomoceridae,Orbatida,Prostigmata,Astigmata,Araneae,Opiliones,Chilopoda,Mesostigmata,Fungivores,Predators,Collembola,Hyphae
12,T1,27-Jun-14,2014,1,LF,Control ,No,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.591172753
21,T1,27-Jun-14,2014,1,LF,Control ,No,0,0,1,0,1,0,10,0,0,0,0,0,0,12,0,2,0
23,T1,27-Jun-14,2014,1,LF,Control ,No,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0
29,T1,27-Jun-14,2014,1,LF,Control ,No,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0.197057584
12,T1,30-Jul-14,2014,2,LF,Control ,No,1,0,0,0,0,0,7,0,0,0,0,0,0,8,0,1,0
21,T1,30-Jul-14,2014,2,LF,Control ,No,4,0,2,0,1,0,1,0,0,0,0,0,0,8,0,7,0.290879772
23,T1,30-Jul-14,2014,2,LF,Control ,No,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0.872639316
29,T1,30-Jul-14,2014,2,LF,Control ,No,2,0,2,0,0,0,1,0,0,0,0,0,1,5,1,4,0
12,T1,28-Aug-14,2014,3,LF,Control ,No,1,0,1,0,0,0,1,1,0,0,0,0,0,3,1,2,0
21,T1,28-Aug-14,2014,3,LF,Control ,No,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
23,T1,28-Aug-14,2014,3,LF,Control ,No,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,3,0
29,T1,28-Aug-14,2014,3,LF,Control ,No,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,2,0
12,T1,28-May-15,2015,4,LF,Control ,No,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,2,2.398225932
21,T1,28-May-15,2015,4,LF,Control ,No,0,0,4,0,1,0,2,0,0,0,0,0,0,7,0,5,0
23,T1,28-May-15,2015,4,LF,Control ,No,5,3,19,0,3,0,65,8,0,0,0,0,0,95,8,30,1.288147381
29,T1,28-May-15,2015,4,LF,Control ,No,1,0,6,1,4,0,10,3,0,0,0,0,0,22,3,12,1.466216211
12,T1,2-Jul-15,2015,5,LF,Control ,No,1,0,3,0,0,0,0,2,0,0,0,0,0,4,2,4,0
21,T1,2-Jul-15,2015,5,LF,Control ,No,2,0,0,0,0,0,6,0,0,0,0,0,0,8,0,2,4.098096063
23,T1,2-Jul-15,2015,5,LF,Control ,No,0,0,1,0,0,0,6,1,0,0,0,0,0,7,1,1,2.679547002
29,T1,2-Jul-15,2015,5,LF,Control ,No,0,0,0,0,0,0,7,0,0,0,0,0,2,7,2,0,2.259214355
15,T2,27-Jun-14,2014,1,GM,Control ,No,0,0,0,0,0,0,11,0,0,0,0,0,0,11,0,0,1.179988357
16,T2,27-Jun-14,2014,1,GM,Control ,No,1,0,0,1,0,0,15,0,0,0,0,0,0,17,0,2,0
18,T2,27-Jun-14,2014,1,GM,Control ,No,0,0,2,1,0,0,6,0,0,0,0,0,0,9,0,3,0.293767203
25,T2,27-Jun-14,2014,1,GM,Control ,No,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.293825536
15,T2,30-Jul-14,2014,2,GM,Control ,No,0,0,1,1,12,0,2,1,0,0,0,0,0,16,1,14,0.292027906
16,T2,30-Jul-14,2014,2,GM,Control ,No,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,2,0.68870562
18,T2,30-Jul-14,2014,2,GM,Control ,No,1,0,0,2,1,0,9,0,0,0,0,0,0,13,0,4,0.891209837
25,T2,30-Jul-14,2014,2,GM,Control ,No,0,0,3,0,1,0,7,0,0,0,0,0,0,11,0,4,0.882879117
15,T2,28-Aug-14,2014,3,GM,Control ,No,0,0,9,0,3,0,0,0,0,0,0,0,0,12,0,12,0.584875353
16,T2,28-Aug-14,2014,3,GM,Control ,No,0,0,1,0,1,0,3,1,0,0,0,0,0,5,1,2,0.292258621
18,T2,28-Aug-14,2014,3,GM,Control ,No,2,1,2,0,2,0,5,0,0,0,0,0,1,12,1,7,0.293942273
25,T2,28-Aug-14,2014,3,GM,Control ,No,1,0,2,0,7,0,4,0,0,0,0,0,0,14,0,10,0.294176024
15,T2,28-May-15,2015,4,GM,Control ,No,7,0,12,2,2,0,7,2,0,0,0,0,0,30,2,23,0
16,T2,28-May-15,2015,4,GM,Control ,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,T2,28-May-15,2015,4,GM,Control ,No,1,0,3,0,0,0,36,1,0,0,0,0,2,40,3,4,0
25,T2,28-May-15,2015,4,GM,Control ,No,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0
15,T2,2-Jul-15,2015,5,GM,Control ,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292489702
16,T2,2-Jul-15,2015,5,GM,Control ,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295704516
18,T2,2-Jul-15,2015,5,GM,Control ,No,0,0,0,1,0,0,2,1,0,0,0,0,4,3,5,1,0
25,T2,2-Jul-15,2015,5,GM,Control ,No,2,0,1,0,0,0,1,0,0,0,0,0,1,4,1,3,0
7,T3,27-Jun-14,2014,1,LF,Invaded,No,0,0,0,0,0,1,9,0,0,1,0,0,0,10,1,1,0.29594108
8,T3,27-Jun-14,2014,1,LF,Invaded,No,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.580618168
11,T3,27-Jun-14,2014,1,LF,Invaded,No,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
17,T3,27-Jun-14,2014,1,LF,Invaded,No,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
7,T3,30-Jul-14,2014,2,LF,Invaded,No,0,0,8,8,8,1,0,0,0,0,0,0,0,25,0,25,0.293592341
8,T3,30-Jul-14,2014,2,LF,Invaded,No,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0
11,T3,30-Jul-14,2014,2,LF,Invaded,No,0,0,2,4,1,0,2,0,0,0,0,0,0,9,0,7,0
17,T3,30-Jul-14,2014,2,LF,Invaded,No,3,0,1,0,0,0,2,0,0,0,0,0,0,6,0,4,0.581188295
7,T3,28-Aug-14,2014,3,LF,Invaded,No,1,0,18,0,1,0,2,0,0,0,0,0,0,22,0,20,0.29301097
8,T3,28-Aug-14,2014,3,LF,Invaded,No,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.292721147
11,T3,28-Aug-14,2014,3,LF,Invaded,No,1,0,1,1,2,0,0,0,0,0,0,0,0,5,0,5,0
17,T3,28-Aug-14,2014,3,LF,Invaded,No,1,0,3,0,0,0,2,0,0,0,0,0,2,6,2,4,1.172043881
7,T3,28-May-15,2015,4,LF,Invaded,No,0,0,4,0,3,0,1,2,0,0,0,0,0,8,2,7,0.592119008
8,T3,28-May-15,2015,4,LF,Invaded,No,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.590465044
11,T3,28-May-15,2015,4,LF,Invaded,No,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0
17,T3,28-May-15,2015,4,LF,Invaded,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291740024
7,T3,2-Jul-15,2015,5,LF,Invaded,No,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0
8,T3,2-Jul-15,2015,5,LF,Invaded,No,0,0,0,0,1,1,0,1,0,0,0,0,0,2,1,2,6.246583511
11,T3,2-Jul-15,2015,5,LF,Invaded,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,T3,2-Jul-15,2015,5,LF,Invaded,No,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.294176024
2,T4,27-Jun-14,2014,1,GM,Invaded,No,1,0,1,0,0,0,12,1,0,0,0,0,0,14,1,2,1.165810833
10,T4,27-Jun-14,2014,1,GM,Invaded,No,0,0,0,0,1,0,8,0,0,0,0,0,0,9,0,1,0.295822751
30,T4,27-Jun-14,2014,1,GM,Invaded,No,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1.754591383
31,T4,27-Jun-14,2014,1,GM,Invaded,No,0,0,0,0,3,0,2,0,0,0,0,0,0,5,0,3,0
2,T4,30-Jul-14,2014,2,GM,Invaded,No,5,0,2,3,0,0,16,1,0,0,0,0,0,26,1,10,0
10,T4,30-Jul-14,2014,2,GM,Invaded,No,0,0,0,3,0,0,1,2,0,0,0,0,0,4,2,3,0.292489702
30,T4,30-Jul-14,2014,2,GM,Invaded,No,4,0,1,0,0,0,4,0,0,0,0,0,0,9,0,5,0
31,T4,30-Jul-14,2014,2,GM,Invaded,No,0,1,1,0,2,0,0,1,0,0,0,0,0,4,1,4,1.168111624
2,T4,28-Aug-14,2014,3,GM,Invaded,No,0,0,0,3,1,0,0,0,0,0,0,0,1,4,1,4,0.29594108
10,T4,28-Aug-14,2014,3,GM,Invaded,No,0,0,2,4,6,0,2,0,0,0,0,0,0,14,0,12,0
30,T4,28-Aug-14,2014,3,GM,Invaded,No,1,1,5,0,1,0,0,0,0,0,0,0,0,8,0,8,0
31,T4,28-Aug-14,2014,3,GM,Invaded,No,2,0,23,2,0,0,0,0,0,0,0,0,2,27,2,27,0.902442814
2,T4,28-May-15,2015,4,GM,Invaded,No,2,0,0,0,0,0,0,3,0,0,0,0,3,2,6,2,0
10,T4,28-May-15,2015,4,GM,Invaded,No,0,0,1,0,2,0,0,1,0,0,0,0,0,3,1,3,0
30,T4,28-May-15,2015,4,GM,Invaded,No,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0
31,T4,28-May-15,2015,4,GM,Invaded,No,0,0,3,0,2,0,0,0,0,0,0,0,0,5,0,5,0.294585984
2,T4,2-Jul-15,2015,5,GM,Invaded,No,1,0,2,0,0,0,6,1,0,0,0,0,0,9,1,3,0.196348447
10,T4,2-Jul-15,2015,5,GM,Invaded,No,0,0,2,0,0,0,1,3,0,0,0,0,1,3,4,2,0
30,T4,2-Jul-15,2015,5,GM,Invaded,No,0,0,3,0,2,0,0,0,0,0,0,0,0,5,0,5,0.298508251
31,T4,2-Jul-15,2015,5,GM,Invaded,No,0,0,3,0,0,0,1,1,0,0,0,0,0,4,1,3,0.29053709
5,T5,27-Jun-14,2014,1,LF,Control ,Yes,0,0,0,2,1,0,9,1,1,0,0,0,0,12,2,3,0
13,T5,27-Jun-14,2014,1,LF,Control ,Yes,1,0,1,0,0,0,7,0,0,0,0,0,0,9,0,2,0.582905417
20,T5,27-Jun-14,2014,1,LF,Control ,Yes,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0
32,T5,27-Jun-14,2014,1,LF,Control ,Yes,0,0,0,1,0,0,9,0,0,0,0,0,0,10,0,1,1.452115211
5,T5,30-Jul-14,2014,2,LF,Control ,Yes,0,0,1,0,2,0,1,0,0,0,0,0,0,4,0,3,0
13,T5,30-Jul-14,2014,2,LF,Control ,Yes,1,0,0,0,2,0,2,0,0,0,0,0,0,5,0,3,0.591054683
20,T5,30-Jul-14,2014,2,LF,Control ,Yes,1,0,0,0,3,0,0,0,0,0,0,0,0,4,0,4,0.197018228
32,T5,30-Jul-14,2014,2,LF,Control ,Yes,12,0,2,0,1,0,4,2,0,0,0,0,0,19,2,15,0
5,T5,28-Aug-14,2014,3,LF,Control ,Yes,0,0,4,0,2,0,2,0,0,0,0,0,0,8,0,6,0.292431897
13,T5,28-Aug-14,2014,3,LF,Control ,Yes,0,0,3,0,0,0,14,0,0,0,0,0,0,17,0,3,0.146215949
20,T5,28-Aug-14,2014,3,LF,Control ,Yes,1,0,0,0,6,0,4,1,0,0,0,0,0,11,1,7,0.146215949
32,T5,28-Aug-14,2014,3,LF,Control ,Yes,1,0,1,0,7,0,1,0,0,0,0,0,0,10,0,9,0
5,T5,28-May-15,2015,4,LF,Control ,Yes,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5.223513865
13,T5,28-May-15,2015,4,LF,Control ,Yes,1,0,0,0,0,0,5,0,0,0,0,0,1,6,1,1,0.293475883
20,T5,28-May-15,2015,4,LF,Control ,Yes,0,0,5,0,7,0,6,1,0,0,0,0,0,18,1,12,0
32,T5,28-May-15,2015,4,LF,Control ,Yes,0,0,3,9,1,0,0,0,0,0,0,0,0,13,0,13,0.290309084
5,T5,2-Jul-15,2015,5,LF,Control ,Yes,0,0,0,0,1,0,6,1,0,0,0,0,0,7,1,1,0
13,T5,2-Jul-15,2015,5,LF,Control ,Yes,1,0,2,0,0,0,3,0,0,0,0,0,0,6,0,3,0
20,T5,2-Jul-15,2015,5,LF,Control ,Yes,5,0,0,0,0,1,5,1,0,0,0,0,0,11,1,6,0.293942273
32,T5,2-Jul-15,2015,5,LF,Control ,Yes,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0
3,T6,27-Jun-14,2014,1,GM,Control ,Yes,2,0,0,1,0,0,3,0,0,0,0,0,0,6,0,3,1.460427754
4,T6,27-Jun-14,2014,1,GM,Control ,Yes,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1.184949269
24,T6,27-Jun-14,2014,1,GM,Control ,Yes,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,1.470295509
27,T6,27-Jun-14,2014,1,GM,Control ,Yes,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0
3,T6,30-Jul-14,2014,2,GM,Control ,Yes,0,0,2,0,5,0,0,0,0,0,0,0,0,7,0,7,0
4,T6,30-Jul-14,2014,2,GM,Control ,Yes,2,0,1,0,0,0,2,0,0,0,0,0,0,5,0,3,0.291452708
24,T6,30-Jul-14,2014,2,GM,Control ,Yes,3,0,0,1,4,0,2,0,0,0,1,0,0,10,1,8,0.877469105
27,T6,30-Jul-14,2014,2,GM,Control ,Yes,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0.589171969
3,T6,28-Aug-14,2014,3,GM,Control ,Yes,1,0,4,0,4,0,1,0,0,0,0,0,0,10,0,9,0.29162503
4,T6,28-Aug-14,2014,3,GM,Control ,Yes,0,0,1,0,9,0,1,0,0,0,0,0,0,11,0,10,0.294468736
24,T6,28-Aug-14,2014,3,GM,Control ,Yes,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0.292027906
27,T6,28-Aug-14,2014,3,GM,Control ,Yes,3,0,5,1,1,0,2,2,0,0,0,0,0,12,2,10,0
3,T6,28-May-15,2015,4,GM,Control ,Yes,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4,T6,28-May-15,2015,4,GM,Control ,Yes,0,0,1,0,3,1,4,2,0,0,0,0,0,9,2,5,0.296712533
24,T6,28-May-15,2015,4,GM,Control ,Yes,0,0,2,1,3,0,1,0,0,0,0,0,0,7,0,6,0
27,T6,28-May-15,2015,4,GM,Control ,Yes,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2,1,0.881476608
3,T6,2-Jul-15,2015,5,GM,Control ,Yes,0,0,0,0,0,1,3,1,0,0,0,0,0,4,1,1,0.898061137
4,T6,2-Jul-15,2015,5,GM,Control ,Yes,1,0,0,1,0,0,5,2,0,0,0,0,0,7,2,2,0
24,T6,2-Jul-15,2015,5,GM,Control ,Yes,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0
27,T6,2-Jul-15,2015,5,GM,Control ,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295291439
6,T7,27-Jun-14,2014,1,LF,Invaded,Yes,0,0,0,0,1,0,10,0,0,0,0,0,0,11,0,1,0.582446526
9,T7,27-Jun-14,2014,1,LF,Invaded,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16214836
19,T7,27-Jun-14,2014,1,LF,Invaded,Yes,0,0,1,0,0,0,3,0,0,0,0,0,0,4,0,1,0.295291439
28,T7,27-Jun-14,2014,1,LF,Invaded,Yes,0,0,0,0,1,0,3,0,0,0,0,0,0,4,0,1,0.291395313
6,T7,30-Jul-14,2014,2,LF,Invaded,Yes,2,0,0,9,5,0,4,0,0,0,0,0,0,20,0,16,0.291280591
9,T7,30-Jul-14,2014,2,LF,Invaded,Yes,0,1,1,6,10,0,6,0,0,0,0,0,0,24,0,18,0.886051138
19,T7,30-Jul-14,2014,2,LF,Invaded,Yes,3,0,0,0,3,0,1,0,0,0,0,0,0,7,0,6,0.588665864
28,T7,30-Jul-14,2014,2,LF,Invaded,Yes,0,0,0,2,4,0,4,0,0,0,0,0,0,10,0,6,0.588665864
6,T7,28-Aug-14,2014,3,LF,Invaded,Yes,1,0,4,0,0,0,0,0,0,0,0,0,0,5,0,5,0.292721147
9,T7,28-Aug-14,2014,3,LF,Invaded,Yes,2,0,3,0,5,0,1,0,0,0,0,0,1,11,1,10,0
19,T7,28-Aug-14,2014,3,LF,Invaded,Yes,0,0,2,0,3,0,1,0,0,0,0,0,0,6,0,5,0.292143218
28,T7,28-Aug-14,2014,3,LF,Invaded,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,T7,28-May-15,2015,4,LF,Invaded,Yes,0,0,6,0,0,0,15,2,0,0,0,0,0,21,2,6,0
9,T7,28-May-15,2015,4,LF,Invaded,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1.479409518
19,T7,28-May-15,2015,4,LF,Invaded,Yes,0,0,0,0,3,0,1,0,0,0,0,0,0,4,0,3,0.493136506
28,T7,28-May-15,2015,4,LF,Invaded,Yes,0,0,1,0,2,0,1,0,0,0,0,0,1,4,1,3,0
6,T7,2-Jul-15,2015,5,LF,Invaded,Yes,0,0,3,0,0,0,0,1,0,0,0,0,0,3,1,3,0
9,T7,2-Jul-15,2015,5,LF,Invaded,Yes,5,0,0,1,1,0,1,2,0,0,0,0,0,8,2,7,0
19,T7,2-Jul-15,2015,5,LF,Invaded,Yes,0,0,0,0,0,1,4,0,0,0,0,0,0,5,0,1,0
28,T7,2-Jul-15,2015,5,LF,Invaded,Yes,2,0,0,0,0,3,0,2,0,0,0,0,0,5,2,5,0
1,T8,27-Jun-14,2014,1,GM,Invaded,Yes,0,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,0.293825536
14,T8,27-Jun-14,2014,1,GM,Invaded,Yes,0,0,1,0,0,0,3,1,0,0,0,0,0,4,1,1,0.292200908
22,T8,27-Jun-14,2014,1,GM,Invaded,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
26,T8,27-Jun-14,2014,1,GM,Invaded,Yes,0,0,1,0,0,0,10,0,0,0,0,0,0,11,0,1,0
1,T8,30-Jul-14,2014,2,GM,Invaded,Yes,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
14,T8,30-Jul-14,2014,2,GM,Invaded,Yes,1,0,3,0,2,0,0,0,0,0,0,0,0,6,0,6,0.293243242
22,T8,30-Jul-14,2014,2,GM,Invaded,Yes,0,0,0,0,3,0,1,0,0,0,0,0,0,4,0,3,1.173825984
26,T8,30-Jul-14,2014,2,GM,Invaded,Yes,3,0,0,4,0,0,0,2,0,0,0,0,9,7,11,7,3.228234708
1,T8,28-Aug-14,2014,3,GM,Invaded,Yes,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.291280591
14,T8,28-Aug-14,2014,3,GM,Invaded,Yes,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.291395313
22,T8,28-Aug-14,2014,3,GM,Invaded,Yes,3,0,14,0,1,0,0,0,0,0,0,0,0,18,0,18,0
26,T8,28-Aug-14,2014,3,GM,Invaded,Yes,0,0,4,2,7,0,3,0,0,0,0,0,0,16,0,13,0
1,T8,28-May-15,2015,4,GM,Invaded,Yes,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,3,0
14,T8,28-May-15,2015,4,GM,Invaded,Yes,3,0,15,0,0,0,1,0,0,0,0,0,0,19,0,18,0.288723005
22,T8,28-May-15,2015,4,GM,Invaded,Yes,0,1,2,0,0,0,0,1,0,0,0,0,0,3,1,3,0
26,T8,28-May-15,2015,4,GM,Invaded,Yes,0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,1,0.888178511
1,T8,2-Jul-15,2015,5,GM,Invaded,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097055319
14,T8,2-Jul-15,2015,5,GM,Invaded,Yes,0,0,6,0,0,0,0,2,0,0,0,0,0,6,2,6,0.291165958
22,T8,2-Jul-15,2015,5,GM,Invaded,Yes,1,0,5,0,0,0,1,0,0,0,0,0,0,7,0,6,0
26,T8,2-Jul-15,2015,5,GM,Invaded,Yes,1,0,0,1,0,3,1,0,0,0,0,0,0,6,0,5,0
